"trip"	"site"	"gut.id"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"97"	"GC20120705"	"III"	155	0	0	0	0	0	0	0
"98"	"GC20120705"	"III"	156	0	0	0	0	0	0	0
"99"	"GC20120705"	"III"	161	0	0	0	0	0	101	0
"100"	"GC20120705"	"III"	174	0	0	12	0	0	0	0
"101"	"GC20120705"	"III"	175	0	0	0	0	0	0	0
"102"	"GC20120705"	"III"	176	0	0	0	0	127	18	0
"103"	"GC20120705"	"III"	178	0	0	0	0	0	0	0
"104"	"GC20120705"	"III"	179	0	0	0	34	0	0	0
"105"	"GC20120705"	"III"	181	0	0	0	0	0	0	0
"106"	"GC20120705"	"III"	182	0	0	0	0	0	0	0
"107"	"GC20120705"	"III"	230	0	0	0	84	0	0	0
"108"	"GC20120705"	"III"	231	0	0	0	0	0	0	0
"109"	"GC20120705"	"III"	240	0	0	0	0	0	0	0
"110"	"GC20120705"	"III"	241	0	0	64	0	0	0	0
"111"	"GC20120705"	"IVa"	152	0	0	0	0	0	0	0
"112"	"GC20120705"	"IVa"	153	0	0	0	5	0	53	0
"113"	"GC20120705"	"IVa"	157	0	0	0	0	0	0	0
"114"	"GC20120705"	"IVa"	180	0	0	0	0	0	0	0
"115"	"GC20120705"	"IVa"	207	0	0	3	35	0	0	0
"116"	"GC20120705"	"IVa"	208	0	0	0	0	0	0	0
"117"	"GC20120705"	"IVa"	209	0	0	0	0	0	0	0
"118"	"GC20120705"	"IVa"	213	0	0	0	0	0	0	0
"119"	"GC20120705"	"IVa"	217	0	0	0	0	0	0	0
"120"	"GC20120705"	"IVa"	218	0	0	0	0	0	0	0
"121"	"GC20120705"	"IVa"	222	0	0	0	0	0	0	0
"122"	"GC20120705"	"IVa"	223	0	0	0	0	0	0	0
"123"	"GC20120705"	"IVa"	229	0	0	0	0	0	112	0
"124"	"GC20120705"	"IVa"	232	0	0	0	0	0	0	0
"125"	"GC20120705"	"IVa"	237	0	0	0	30	0	0	0
"126"	"GC20120705"	"IVa"	238	0	0	0	0	0	0	0
"127"	"GC20120705"	"IVa"	243	0	0	0	0	0	0	0
"128"	"GC20120705"	"IVa"	247	0	0	0	0	0	0	0
"129"	"GC20120705"	"IVb"	158	0	0	0	0	0	0	0
"130"	"GC20120705"	"IVb"	159	0	0	0	0	0	0	0
"131"	"GC20120705"	"IVb"	160	0	0	0	0	0	0	0
"132"	"GC20120705"	"IVb"	162	0	0	0	0	0	0	0
"133"	"GC20120705"	"IVb"	204	0	0	0	0	0	0	0
"134"	"GC20120705"	"IVb"	212	0	0	0	0	0	0	0
"135"	"GC20120705"	"IVb"	215	0	0	0	0	0	0	0
"136"	"GC20120705"	"IVb"	216	0	0	0	0	0	0	0
"137"	"GC20120705"	"IVb"	219	0	0	0	0	0	0	0
"138"	"GC20120705"	"IVb"	220	0	0	0	0	0	0	0
"139"	"GC20120705"	"IVb"	224	0	0	0	0	0	0	0
"140"	"GC20120705"	"IVb"	225	0	0	0	0	0	0	0
"141"	"GC20120705"	"IVb"	227	0	0	0	0	0	0	0
"142"	"GC20120705"	"IVb"	228	0	0	0	0	0	0	0
"143"	"GC20120705"	"IVb"	233	0	0	0	0	0	0	0
"144"	"GC20120705"	"IVb"	239	0	0	0	0	0	0	0
"145"	"GC20120705"	"IVb"	244	0	0	0	0	0	0	0
"146"	"GC20120705"	"IVb"	246	0	0	0	0	0	0	0
"147"	"GC20120705"	"I"	163	0	0	0	0	27	0	0
"148"	"GC20120705"	"I"	164	0	0	0	0	43	7	0
"149"	"GC20120705"	"I"	165	0	0	0	0	0	0	0
"150"	"GC20120705"	"I"	166	0	0	0	0	34	0	0
"151"	"GC20120705"	"I"	167	0	0	0	0	0	0	0
"152"	"GC20120705"	"I"	168	0	0	0	0	0	0	0
"153"	"GC20120705"	"I"	169	0	0	0	0	72	0	0
"154"	"GC20120705"	"I"	170	0	0	0	0	174	0	0
"155"	"GC20120705"	"I"	171	0	0	0	0	84	0	0
"156"	"GC20120705"	"I"	172	0	0	0	0	0	0	0
"157"	"GC20120705"	"I"	183	0	0	0	0	14	9	0
"158"	"GC20120705"	"I"	184	0	0	0	0	55	0	0
"159"	"GC20120705"	"I"	185	0	0	0	0	261	0	0
"160"	"GC20120705"	"I"	186	0	0	0	0	217	83	0
"161"	"GC20120705"	"I"	187	0	0	0	0	59	0	0
"162"	"GC20120705"	"I"	188	0	0	0	0	438	0	0
"163"	"GC20120705"	"I"	189	0	0	0	0	0	0	0
"164"	"GC20120705"	"I"	190	0	0	0	0	458	0	0
"165"	"GC20120705"	"I"	191	0	0	0	0	117	0	0
"166"	"GC20120705"	"I"	192	0	0	0	0	0	0	0
"167"	"GC20120705"	"II"	173	0	0	0	0	37	271	0
"168"	"GC20120705"	"II"	177	0	0	0	0	0	81	0
"169"	"GC20120705"	"II"	193	0	0	0	0	0	147	0
"170"	"GC20120705"	"II"	194	0	0	0	0	0	0	0
"171"	"GC20120705"	"II"	195	0	0	0	0	58	119	0
"172"	"GC20120705"	"II"	197	0	0	0	0	0	0	0
"173"	"GC20120705"	"II"	198	0	0	0	0	10	0	0
"174"	"GC20120705"	"II"	199	0	0	0	0	0	0	0
"175"	"GC20120705"	"II"	200	0	0	0	0	37	0	0
"176"	"GC20120705"	"II"	202	0	0	0	0	0	0	0
"177"	"GC20120705"	"II"	203	0	0	0	0	0	0	0
"178"	"GC20120705"	"II"	205	0	0	0	0	0	0	0
"179"	"GC20120705"	"II"	206	0	0	0	0	92	0	0
"180"	"GC20120705"	"II"	210	0	0	0	0	0	0	0
"181"	"GC20120705"	"II"	211	0	0	0	0	0	84	0
"182"	"GC20120705"	"II"	221	0	0	0	0	118	181	0
"183"	"GC20120705"	"II"	234	0	0	0	0	44	58	0
"184"	"GC20120705"	"II"	235	0	0	0	0	0	158	0
"185"	"GC20120705"	"II"	236	0	0	0	0	18	188	0
"186"	"GC20120705"	"II"	242	0	0	0	0	0	34	0
"187"	"GC20120913"	"IVa"	249	0	0	0	66	0	0	0
