"trip"	"site"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"
"18"	"GC20130110"	"II"	12	18	17	24	21	0	4	22	16	4	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	183	320	202	140	92	71	24	7	0	0	0	0	85	341	145	46	3	0	20	239	378	207	102	24	10	8	6	1	1	8	40	64	59	29	20	20	10	6	2	9	2	2	0	0	0	0	1	0
"19"	"GC20130110"	"III"	3	2	0	0	0	0	6	24	17	14	4	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	22	340	335	338	250	106	36	9	0	1	0	0	1	369	353	89	8	0	1	36	395	384	173	72	29	10	5	0	0	0	21	106	124	71	39	34	16	10	9	8	5	5	9	3	2	2	0	0	0
"20"	"GC20130110"	"IVa"	5	1	0	0	0	0	3	12	18	8	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	14	286	332	332	187	75	40	13	1	0	0	0	3	480	624	210	38	3	0	21	253	447	229	116	50	21	14	2	0	0	15	33	43	21	18	14	7	5	1	4	5	2	2	0	0	1	0	0	1
"21"	"GC20130110"	"IVb"	1	3	0	0	0	0	9	18	20	9	4	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	32	361	329	297	139	56	24	5	1	0	0	0	1	543	644	170	42	2	0	34	309	479	237	143	56	15	6	1	0	0	13	52	74	35	21	15	10	11	3	0	4	4	2	1	3	1	0	0	1
"22"	"GC20130404"	"I"	1	2	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	11	59	43	2	0	0	76	138	152	95	29	8	2	0	0	0	0	223	247	81	18	15	3	2	0	1	1	1	0	0	0	0	0	1	0	0
"23"	"GC20130404"	"II"	8	0	0	0	0	0	2	15	4	2	2	1	0	0	0	0	0	0	0	0	0	0	9	34	21	1	0	0	0	11	68	39	30	12	6	11	11	6	1	0	0	4	227	518	174	41	1	0	68	240	320	211	129	57	11	2	0	0	0	281	278	99	50	23	10	6	2	1	2	0	0	1	0	0	0	0	0	0
"24"	"GC20130404"	"III"	2	2	1	1	0	0	1	3	5	1	5	1	0	0	0	0	0	0	0	0	0	1	4	9	5	1	0	0	0	3	30	13	22	4	11	10	8	2	0	0	0	1	138	355	139	47	4	0	93	285	283	190	88	20	4	1	1	0	1	294	265	84	42	19	12	2	3	0	0	1	0	0	0	0	0	0	0	0
"25"	"GC20130404"	"IVa"	1	0	1	0	0	0	2	6	4	2	1	0	0	0	0	0	0	0	0	0	0	1	18	48	15	2	0	0	0	12	29	7	8	5	4	14	20	6	3	0	0	8	313	657	255	85	3	1	82	240	264	166	87	35	5	2	0	0	0	197	237	104	57	24	14	2	3	1	0	1	0	0	0	0	0	0	0	0
"26"	"GC20130404"	"IVb"	2	0	0	0	0	0	3	12	8	2	0	0	0	0	0	0	0	0	0	0	0	2	12	35	19	1	1	1	1	16	40	14	5	4	3	10	9	6	0	0	0	18	401	671	259	75	4	0	108	297	257	167	115	25	8	1	0	0	0	241	254	87	36	19	9	3	4	3	4	0	0	0	0	0	0	0	0	0
"28"	"GC20130625"	"I"	15	9	0	0	0	0	33	55	26	14	5	3	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	8	4	4	1	1	0	0	0	0	0	0	12	282	484	171	24	2	0	92	288	344	158	45	11	3	1	0	0	0	382	320	54	15	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
